,name,offices
224,Flatdog Adventure,[{'country_code': 'AUS'}]
225,Brandtology,"[{'country_code': 'SGP'}, {'country_code': 'USA'}, {'country_code': 'CHN'}, {'country_code': 'CHN'}, {'country_code': 'AUS'}, {'country_code': 'MYS'}]"
226,Dialogix,[{'country_code': 'AUS'}]
227,ZaaBiz Pty Ltd,[{'country_code': 'AUS'}]
228,Sales Placements Australia,[{'country_code': 'AUS'}]
229,ParkSlide,"[{'country_code': 'AUS'}, {'country_code': 'AUS'}]"
230,ResPax,[{'country_code': 'AUS'}]
231,bwired,[{'country_code': 'AUS'}]
232,Exari Systems,"[{'country_code': 'AUS'}, {'country_code': 'USA'}]"
233,Agency Browser,[{'country_code': 'AUS'}]
234,Audinate,"[{'country_code': 'AUS'}, {'country_code': 'USA'}]"
235,BT Imaging,[{'country_code': 'AUS'}]
236,Internet Marketing Consultant,[{'country_code': 'AUS'}]
237,ekidnaworld,[{'country_code': 'AUS'}]
238,JMango,"[{'country_code': 'PHL'}, {'country_code': 'NLD'}, {'country_code': 'AUS'}, {'country_code': 'RUS'}, {'country_code': 'VNM'}, {'country_code': 'HKG'}, {'country_code': 'ARE'}]"
239,Trustdefender,[{'country_code': 'AUS'}]
240,Exploroo Pty Ltd,[{'country_code': 'AUS'}]
241,Communispace,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}]"
242,Netsize,"[{'country_code': 'FRA'}, {'country_code': 'AUS'}, {'country_code': 'HUN'}, {'country_code': 'ITA'}, {'country_code': 'NLD'}, {'country_code': 'ESP'}, {'country_code': 'SWE'}, {'country_code': 'GBR'}]"
243,Global Surfari,[{'country_code': 'AUS'}]
244,Qualys,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'IND'}, {'country_code': 'JPN'}]"
245,Instra Corporation,"[{'country_code': 'AUS'}, {'country_code': 'NZL'}]"
246,Rockstar Memoirs,[{'country_code': 'AUS'}]
247,Layer 7 Technologies,"[{'country_code': 'USA'}, {'country_code': 'CAN'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}]"
248,FireScope,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'GBR'}]"
249,Dystopia Studios,[{'country_code': 'AUS'}]
250,Gotham,[{'country_code': 'AUS'}]
251,Readspeaker,"[{'country_code': 'NLD'}, {'country_code': 'SWE'}, {'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'DEU'}, {'country_code': 'ESP'}, {'country_code': 'FRA'}, {'country_code': 'JPN'}, {'country_code': 'AUS'}]"
252,FRV,"[{'country_code': 'ESP'}, {'country_code': 'ESP'}, {'country_code': 'AUS'}, {'country_code': 'MEX'}]"
253,KAZ Group,[{'country_code': 'AUS'}]
254,CommTel Network Solutions,"[{'country_code': 'AUS'}, {'country_code': 'AUS'}, {'country_code': 'AUS'}, {'country_code': 'NZL'}]"
255,Novera,[{'country_code': 'AUS'}]
256,Track and Locate,[{'country_code': 'AUS'}]
